    1  9/1/2023 00:25 vim .config/nvim/lua/custom/configs/lspconfig.lua 
    2  9/1/2023 00:25 vim hello.c 
    3  9/1/2023 00:25 rm hello.c 
    4  9/1/2023 00:25 vim hello.c
    5  9/1/2023 00:25 rm hello.c tux.o 
    6  9/1/2023 00:25 cd Desktop/cs149/WS1/
    7  9/1/2023 00:25 sudo apt install zsh git fonts-font-awesome
    8  9/1/2023 00:25 echo $ZSH_CUSTOM
    9  9/1/2023 00:26 zsh
   10  9/1/2023 00:26 zsh
   11  9/1/2023 00:26 search bash
   12  9/1/2023 00:26 sudo apt search bash
   13  9/1/2023 00:26 dl command-not-found
   14  9/1/2023 00:26 sudo apt install command-not-found
   15  9/1/2023 00:26 zsh
   16  9/1/2023 00:26 reboot
   17  9/1/2023 00:30 vim .zshrc 
   18  9/1/2023 00:30 nvim .zshrc 
   19  9/1/2023 00:30 history
   20  9/1/2023 00:30  which zsh
   21  9/1/2023 00:30  vim .zshrc
   22  9/1/2023 01:14  ./1_17.o 7 9
   23  9/1/2023 01:23  gcc -Wall -O3 -o 1_17.o 1_17.c
   24  9/1/2023 01:23  ./1_17.o 0 1
   25  9/1/2023 01:31  gcc -Wall -O3 -o hello.o hello.c
   26  9/1/2023 01:31  ./hello.o
   27  9/1/2023 01:31  rm hello.o hello.c
   28  9/1/2023 01:32  ./1_17.o 9 8
   29  9/1/2023 01:32  ./1_17.o a b
   30  9/1/2023 01:32  ./1_17.o A 6
   31  9/1/2023 01:32  ./1_17.o 8 n
   32  9/1/2023 01:32  ./1_17.o * )
   33  9/1/2023 01:32  ./1_17.o * ;
   34  9/1/2023 01:33  ./1_17.o * -;
   35  9/1/2023 01:33  ./1_17.o * *
   36  9/1/2023 01:33  ./1_17.o $ 5
   37  9/1/2023 01:33  ./1_17.o ^ 8
   38  9/1/2023 01:33  ./1_17.o b &
   39  9/1/2023 01:33  ./1_17.o b *
   40  9/1/2023 01:33  ./1_17.o b $
   41  9/1/2023 01:34  ./1_17.o b #
   42  9/1/2023 01:34  ./1_17.o b @
   43  9/1/2023 01:34  ./1_17.o b !
   44  9/1/2023 01:34  ./1_17.o b (
   45  9/1/2023 01:34  ./1_17.o b -
   46  9/1/2023 01:34  ./1_17.o -- $
